Taxa	 FactorA	FactorB
SD40	4.03236993357392	0.798398991177755
SD44	2.86404976591387	6.0629009697609
SG1533	2.54940916805328	7.92385779753663
SG18	3.19530097869309	7.71067335986545
T232	3.82970152678893	4.26837970908136
T234	3.70346334035134	4.18372881617842
T8	3.25425916139482	5.72703202153978
TX303	6.44070890805733	5.10267847451505
TX601	8.64403127775743	4.99350176219225
TZI10	8.53171463890572	3.40928703911017
TZI11	7.34196984968172	4.92678129764295
TZI16	6.8915878246096	4.61201948695807
TZI18	8.74873141252136	4.4045019407365
TZI25	9.3070907809553	5.18367086553657
TZI8	8.94789419569938	5.12760592459528
TZI9	8.3044532077139	3.77591656062892
U267Y	5.41037772641801	5.12083584788066
VA102	2.0165956105198	6.94277422903058
VA14	1.7623957329753	5.94056773541911
VA17	2.21226112202216	6.1611695840095
VA22	2.5329050696998	6.3866266604528
VA26	-0.408925070399146	7.38881717744532
VA35	1.98802174074192	6.12463812375922
VA59	1.2352340127166	7.25754889942391
VA85	0.132106247154036	6.20553377608748
VA99	1.16712099041534	3.53628706435743
VAW6	3.62394359209461	4.88503714537562
W117HT	3.20439932316243	5.17234806968794
W153R	2.11349772915404	5.52236637398431
W182B	1.19496052552578	5.98729583321279
W22R-RSTD	1.99025808037151	5.2498897481871
W22	1.5936004978501	5.44504611609207
W64A	2.46550171378711	5.32071260648991
WD	2.98484648731519	6.26509273542345
WF9	1.29393173034544	5.6278085158175
YU796NS	1.46325857000056	6.501487560323
