Taxa	Obs
CML311	-0.415601789809557
CML314	-1.13557377901221
CML321	-2.42785784110344
CML322	5.1215727378466
CML323	-0.981800336657293
CML328	-1.68076471428659
CML331	0.558312344284966
CML332	-5.79506875821739
CML333	1.88079933624803
CML341	0.987059069269051
CML38	0.898615398304108
CML45	-3.41302339249518
CML5	0.848661023312247
CML52	-4.88381052748532
CML61	-0.493249927880407
CML69	-3.21407073479569
CML77	-2.12544425313373
CML91	-0.898225158211943
CML92	-0.535074560713762
CMV3	1.61043189002816
CO106	-2.50003829671456
CO125	-2.54561962663667
CO255	0.224118771608881
D940Y	-0.38070761148492
DE2	-1.46095047226825
DE3	-0.0535242280319835
DE1	-3.23123705308706
DE811	-1.84782556618986
E2558W	-2.90868303272471
EP1	-2.62025386037733
F2834T	-6.58924594860202
F44	0.299437046928191
F6	-1.01993121446308
F7	-0.773028426011497
GA209	-0.447986076165727
GT112	0.0862962851018223
H105W	2.49821552027296
H49	-1.73106086880561
H84	-1.493079457266
H91	0.82730075634442
H95	-4.00740701549144
H99	-3.37066527833677
HI27	-2.15460221439349
HP301	-5.31144709007556
HY	-0.96907073063671
I137TN	-6.08452449576066
I205	0.976615653234009
I29	0.703316576999848
IA2132	-0.117622882389656
IA5125	4.54748190538813
IDS28	-2.43033996011302
IDS69	-4.6751894927999
IDS91	-6.92380329798029
IL101	-0.815822211092229
IL14H	0.405404420300768
IL677A	-0.245201085672637
K148	-2.25765357021293
K4	0.967078247012141
K55	0.822887953513137
K64	-4.0073465563817
KI11	-2.38380983337498
KI14	-0.966136263925243
KI2021	2.71182591607206
KI21	-4.27863099295458
KI3	-0.80402197047962
KI43	-4.59335892066325
KI44	0.740247482107624
KY21	-0.0643098398190842
KY226	-1.26439686833743
KY228	-0.657884403740605
L317	-1.73879174467124
L578	-6.77302266537034
M14	-0.0584539728847469
M162W	-5.90616644363692
M37W	-0.376908515331254
MEF156-55-2	-0.167026881147143
MO17	-3.34729282216976
MO18W	-0.59447126957858
MO1W	-5.09722004576821
MO24W	-1.24973888295722
MO44	-1.69868201618262
MO45	2.10698677185531
MO46	0.503309710671124
MO47	0.235584922037193
MOG	1.22645799943604
MP339	-0.509452300548136
MS1334	0.132789131380736
MS153	0.0959838939697066
MS71	-1.5415351893309
MT42	-2.65358227391744
N192	-2.56205928736293
N28HT	-0.735671751260572
N6	-8.02248632413173
N7A	0.0166794377935942
NC222	-2.22104398196414
NC230	1.73505459288311
NC232	-1.51744309399018
NC236	0.898639135235498
NC238	-9.06147989631689
NC250	-0.688860001524858
NC258	-2.47961708025571
NC260	-2.39563311233452
NC262	-0.423019699312194
NC264	-1.22477858962549
NC290A	-3.23419610647683
NC294	-0.0496164962430843
NC296	-0.923045768738228
NC296A	-1.9688893062937
NC298	-1.69079389164231
NC300	-2.58686032728998
NC302	1.14553840742973
NC304	-1.7322855411373
NC306	-0.524930768078552
NC310	2.27585706754565
NC314	-3.68894191936207
NC318	-2.77561116399604
NC320	-2.00818968448675
NC324	-3.23572629901745
NC326	0.494062715048859
NC328	-5.00832356103626
NC33	0.326421186025182
NC336	-2.31154759227726
NC338	-0.557649551595021
NC340	-2.73983610491214
NC342	-5.64819203473015
NC344	-4.854292782091
NC346	-2.37066513617757
NC348	-0.17387175610915
NC350	-4.89706549057029
NC352	-2.6261293488083
NC354	-2.74160694027194
NC356	-1.87204773474796
NC358	-1.80341504194406
NC360	0.707818603832749
NC362	-2.20365267063327
NC364	-1.6649983202225
NC366	-2.3726195855058
NC368	1.61463559123808
ND246	1.11026076922979
OH40B	-4.1236267906032
OH43	-3.87273368023494
OH43E	-2.78921067115455
OH603	-3.43798039052906
OH7B	0.432306362055934
OS420	-0.0873433039688156
P39	-0.198916925129107
PA762	-2.79196480361869
PA875	-2.93271055168245
PA880	-1.59350162259857
PA91	-2.90563709228011
R109B	-2.7514109711852
R168	-0.121372655107173
R177	-1.81938523884496
R229	0.467325881585639
R4	-4.58004906415858
SA24	-4.68578059344613
SC213R	-2.95381724994943
SC357	-1.55809191772782
SC55	-1.18361178636494
SD40	-0.534682674866791
SD44	-3.12218708055334
SG1533	-3.09910739262586
SG18	-5.04534353953578
T232	-2.0092007130732
T234	1.88506252988842
T8	2.35984160684517
TX303	-0.542467590066645
TX601	-3.18269183366638
TZI10	-4.07436202124356
TZI11	-1.36335834597128
TZI16	-2.9830805994334
TZI18	-1.69220131379984
TZI25	0.512448402014474
TZI8	-1.37131564102781
TZI9	-3.97085947602986
U267Y	0.0565981677629588
VA102	2.0456003570163
VA14	-6.55645975874725
VA17	-2.8888077043492
VA22	-1.32743524959255
VA26	-1.01974287980332
VA35	1.38550701763559
VA59	-1.06444828108656
VA85	-0.196490774475067
VA99	-3.4275191769335
VAW6	-1.58994274523904
W117HT	0.910318327288779
W153R	-6.46360603661589
W182B	-0.976616019765496
W22R-RSTD	-6.59705140710591
W22	-3.7422470292276
W64A	-5.75879037134193
WD	-1.37923702684518
WF9	-4.21502530619457
YU796NS	-1.48354459293812
